ag-13X1-a -161.01991739
ag-25X1-a -177.38788953
ag-25X2-a -177.90593296
ag-37X1-a -194.10459752
ag-37X2-a -194.52348700
ag-37X3-a -193.89207256
ag-37X4-a -194.28470118
ag-49X1-a -210.83579680
ag-49X2-a -210.77528753
ag-49X3-a -211.20120833
ag-49X4-a -211.19160390
ag-49X5-a -210.55428520
ag-49X6-a -211.00914942
ag-49X7-a -210.94807899
ag-49X8-a -210.68106473
au-13X1-a -186.34848657
au-25X1-a -202.80946332
au-25X2-a -203.32463821
au-37X1-a -219.54071756
au-37X2-a -219.94037998
au-37X3-a -219.34107005
au-37X4-a -219.72156448
au-49X1-a -236.28065428
au-49X2-a -236.22259344
au-49X3-a -236.62310295
au-49X4-a -236.62125391
au-49X5-a -236.00042147
au-49X6-a -236.45253432
au-49X7-a -236.33767337
au-49X8-a -236.12788343
cd-13X1-a -71.67810251
cd-25X1-a -88.04063138
cd-25X2-a -88.53206707
cd-37X1-a -104.75058765
cd-37X2-a -105.14922136
cd-37X3-a -104.54183378
cd-37X4-a -104.93772062
cd-49X1-a -121.46775847
cd-49X2-a -121.40918415
cd-49X3-a -121.79116661
cd-49X4-a -121.80839105
cd-49X5-a -121.20916227
cd-49X6-a -121.64722131
cd-49X7-a -121.57130607
cd-49X8-a -121.32780727
co-13X1-a -363.64146548
co-25X1-a -380.09079517
co-25X2-a -380.53751476
co-37X1-a -396.70027451
co-37X2-a -397.16246324
co-37X3-a -396.50202307
co-37X4-a -396.67702100
co-49X1-a -413.45358324
co-49X2-a -413.39176978
co-49X3-a -413.87326561
co-49X4-a -413.77392216
co-49X5-a -413.24207635
co-49X6-a -413.63236743
co-49X7-a -413.37142175
co-49X8-a -413.03542208
cu-13X1-a -207.22814477
cu-25X1-a -223.44141097
cu-25X2-a -224.12045871
cu-37X1-a -240.28253040
cu-37X2-a -240.73972515
cu-37X3-a -240.08821375
cu-37X4-a -240.31469763
cu-49X1-a -257.02953926
cu-49X2-a -256.97127768
cu-49X3-a -257.42995845
cu-49X4-a -257.40691665
cu-49X5-a -256.74486391
cu-49X6-a -257.20447892
cu-49X7-a -256.97804797
cu-49X8-a -256.86314490
fe-13X1-a -417.44604174
fe-25X1-a -433.88190394
fe-25X2-a -434.16516797
fe-37X1-a -450.62014953
fe-37X2-a -450.84113091
fe-37X3-a -450.16201495
fe-37X4-a -450.82673525
fe-49X1-a -467.05828021
fe-49X2-a -466.97541764
fe-49X3-a -467.51501192
fe-49X4-a -467.48832164
fe-49X5-a -467.13460989
fe-49X6-a -467.48538661
fe-49X7-a -467.44896051
fe-49X8-a -467.11788871
ir-13X1-a -443.93503437
ir-25X1-a -460.36909794
ir-25X2-a -461.02823311
ir-37X1-a -477.12106559
ir-37X2-a -477.65264177
ir-37X3-a -476.92939824
ir-37X4-a -477.21444830
ir-49X1-a -493.87057964
ir-49X2-a -493.81530238
ir-49X3-a -494.34828486
ir-49X4-a -494.21061250
ir-49X5-a -493.32434855
ir-49X6-a -494.33735290
ir-49X7-a -493.90267483
ir-49X8-a -493.67638530
ni-13X1-a -286.73524210
ni-25X1-a -303.13606212
ni-25X2-a -303.84849473
ni-37X1-a -319.97802800
ni-37X2-a -320.46014914
ni-37X3-a -319.79291179
ni-37X4-a -319.98392426
ni-49X1-a -336.72297136
ni-49X2-a -336.67762510
ni-49X3-a -337.16619261
ni-49X4-a -337.08550313
ni-49X5-a -336.41222164
ni-49X6-a -336.96804442
ni-49X7-a -336.68116240
ni-49X8-a -336.54464294
os-13X1-a -554.63176549
os-25X1-a -571.01067638
os-25X2-a -571.76981249
os-37X1-a -587.82561665
os-37X2-a -588.39247139
os-37X3-a -587.64269971
os-37X4-a -587.87424607
os-49X1-a -604.58305445
os-49X2-a -604.50414574
os-49X3-a -605.08721928
os-49X4-a -604.93549734
os-49X5-a -604.41793974
os-49X6-a -605.14227271
os-49X7-a -604.57278564
os-49X8-a -604.36281521
pd-13X1-a -277.04557202
pd-25X1-a -293.55165929
pd-25X2-a -294.14289928
pd-37X1-a -310.31126094
pd-37X2-a -310.74374419
pd-37X3-a -310.11123439
pd-37X4-a -310.41260573
pd-49X1-a -327.06173896
pd-49X2-a -327.02103179
pd-49X3-a -327.45415545
pd-49X4-a -327.38984906
pd-49X5-a -326.78751612
pd-49X6-a -327.18114937
pd-49X7-a -327.10645944
pd-49X8-a -326.90376122
pt-13X1-a -318.53323891
pt-25X1-a -335.05262436
pt-25X2-a -335.63765732
pt-37X1-a -351.76439259
pt-37X2-a -352.25764785
pt-37X3-a -351.57111894
pt-37X4-a -351.90638246
pt-49X1-a -368.51494221
pt-49X2-a -368.46769806
pt-49X3-a -368.95945766
pt-49X4-a -368.84355914
pt-49X5-a -368.25459211
pt-49X6-a -368.70545502
pt-49X7-a -368.59841804
